"Genre","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments","Aggregate.Followers","Ratings"
1,6.8e+07,3313,1,3,2276605,3946,331,1286,1888000,7.6
3,1850000,8,1,-4,1034480,6490,181,374,66600,6.4
3,2e+06,780,1,0,456564,1706,413,890,412000,5
1,1.6e+08,3952,1,2,1156609,2968,112,547,1870000,6.5
3,6.1e+07,3014,1,-11,396010,1390,58,342,20640000,8.2
1,1.7e+08,4080,1,0,1313548,8567,269,1285,2750000,8.1
8,70000,9,1,0,924347,1406,107,132,5887700,5.6
1,1e+08,3595,1,-2,9324678,15479,1130,3925,9414000,6.1
8,4.2e+07,93,2,-1,1292235,5284,124,362,1650000,6.3
12,1.45e+08,4253,2,3,11472161,22779,862,2863,671000,7.9
3,1.1e+07,1272,1,14,9222933,41728,924,3609,1800000,6.8
3,8932779.93,6,1,0,8210,6,0,0,58900,6.1
2,1.65e+08,3561,1,2,5421705,16635,751,4316,1865000,8.7
1,5e+07,3434,1,0,4270410,8886,569,3058,301000,5.8
2,5e+07,2440,1,-4,817242,4391,112,346,4720000,6
1,6e+07,3387,5,4,3320754,4322,347,1105,147000,6.2
9,4e+07,2905,1,10,1438350,4028,133,543,27323,6.9
9,5e+06,374,1,0,3650720,6917,234,1119,1045200,7
1,8.1e+07,3204,1,0,2767873,46023,944,6946,5407000,7.8
1,1.6e+07,1825,1,0,5611593,11187,2111,7595,116800,3.1
8,1.7e+07,1534,1,-5,4450824,7315,546,909,2356000,6.5
7,3e+05,3,1,0,30529,18,4,2,18100,4.8
1,1.8e+08,3948,1,0,557012,3528,135,464,5633,7
8,1.5e+07,66,1,0,177465,595,39,71,644000,6.3
9,2.5e+07,3019,1,27,1470438,4314,168,511,130000,7.1
8,5e+06,1044,1,0,667852,469,38,44,919000,5.4
12,1.45e+08,3934,1,13,277848,890,45,88,8839043,6.9
2,5e+07,3194,3,-1,3037329,6696,564,1061,9850000,6.5
1,6.6e+07,3115,1,5,1451649,7342,533,2305,2594000,6.6
8,1.8e+07,3279,1,2,2554307,8722,298,693,14240000,6.4
2,1.27e+08,22,3,2,3779254,13535,362,1221,6480000,6.3
10,13200000,2130,1,0,608230,895,118,387,1550500,5.6
1,1.25e+08,3567,1,6,13661095,41254,3812,18077,1810000,5.9
1,5e+07,3090,1,0,367551,700,19,37,648786,7
15,5e+06,2061,1,-4,11724815,30208,2150,4926,130000,4.4
8,5.5e+07,3303,1,14,2028767,3829,500,665,124000,7.2
15,5e+06,2867,1,0,105480,352,45,85,11444,5
12,1.32e+08,32,1,8,1223790,2934,123,226,47200,6.8
12,5e+07,3826,3,0,2117798,2124,485,626,3603000,5.9
1,1e+08,2658,1,0,355563,1568,106,267,370000,5.6
1,2.5e+07,2663,1,0,8429023,27484,977,2195,21586000,6.1
12,1.03e+08,3948,2,4,3849768,9783,704,1151,154400,6.4
1,1e+08,3372,1,7,3305047,11733,1077,4319,250000,6.2
1,3.5e+07,2486,1,17,3466458,6096,411,977,3678000,5.7
9,2e+07,2179,1,-5,3743181,16782,565,4973,9224,7.5
1,9.5e+07,2875,1,0,23360,36,5,5,804300,5.5
8,4e+07,3062,1,0,2757667,3030,418,251,4521000,5.1
10,6.5e+07,2894,2,0,5223362,18770,627,2796,8620000,6.6
9,2.2e+07,3260,1,2,943306,3006,325,1401,3185900,5.5
3,6e+06,27,1,0,2426078,9230,184,373,33500,5.8
8,1.3e+07,18,1,20,4176181,9463,310,885,269849,7.3
1,4.8e+07,21,3,6,1544390,2975,136,380,216000,6.1
8,2e+07,3465,1,0,3429055,7682,675,727,727000,4.8
1,1.25e+08,3845,1,0,7908038,27312,3439,8533,1260000,5.9
8,8e+06,2809,1,0,6132551,14539,653,846,11783000,6.1
1,2e+08,4324,2,6,386857,4996,233,864,4520000,6.8
3,2.6e+07,8,1,3,5546710,15351,535,1271,48231,6.6
12,5e+07,12,1,9,5165441,17476,871,3229,10364000,7.3
12,6e+07,3464,1,5,2545852,3964,378,554,1280000,6.8
1,5.5e+07,3236,1,0,7075635,15858,574,1966,1800000,7.2
1,9e+07,90,3,0,14453673,33092,1336,5005,1480000,6.1
3,1.2e+07,3173,1,7,32626778,370552,4752,38363,4240000,7.9
10,2.5e+07,103,1,-2,4790221,4740,454,773,2740000,6.1
3,2.5e+07,702,1,6,523457,2187,149,565,184100,6.5
3,2e+07,461,1,10,1303646,3306,211,564,759800,7.4
2,2.5e+08,3875,6,3,3554189,14152,262,1782,2613000,7.5
3,1.6e+07,4,1,2,26528,58,1,8,25748,6.6
8,2.2e+07,2023,1,11,24809,277,12,52,20700,7.3
2,1.25e+08,4151,3,2,3305417,14684,332,1176,31030000,6.8
1,4.4e+07,78,1,0,6231191,13331,1265,3430,6619435,6.7
10,5e+07,3003,1,2,1325872,4829,104,378,5563500,7.5
1,7e+07,2104,1,0,797229,1606,630,456,1174806,4.2
12,6e+07,3775,1,-2,439159,1847,105,289,4690000,7.8
6,1.4e+07,1841,1,2,381071,238,27,43,14586,6.3
1,3.4e+07,173,1,2,3156436,18124,213,2753,4734000,6.8
3,7e+07,3083,1,0,10649,21,1,0,3849,6.1
1,1.5e+07,2776,1,0,1935432,3089,155,567,148000,6.3
8,1e+05,20,1,2,1223891,1309,148,239,226000,7.1
8,4e+07,3205,1,-1,8479994,35071,2233,3479,2731000,6
1,9e+06,2805,2,-3,1142295,3895,193,882,49424,6.5
15,6500000,685,1,0,4092871,8781,794,2046,420000,4.7
10,12250000,5,1,0,702,1,0,1,9842,6.4
9,1.5e+07,15,1,8,3226251,18240,261,2104,8204,7.8
3,22500000,320,1,7,3281842,4968,445,2099,1899400,7.2
3,1e+06,2602,2,-6,698,16,1,9,3086,4.9
8,2.4e+07,2225,2,0,2063089,5858,336,346,24388000,5.7
3,1e+08,3455,1,0,14141585,36646,1459,6811,5987,6.3
1,2.1e+08,4233,4,0,170909,791,362,230,2814900,5.8
8,2800000,449,1,0,473100,670,104,380,180100,5.4
9,6.5e+07,3131,1,0,6637551,19833,815,3403,269000,7.2
10,6e+06,291,1,10,476747,2079,166,232,2536000,6.8
3,1.5e+07,794,1,0,280566,477,56,82,585000,6.6
3,3300000,42,1,2,7750223,17541,631,2760,858000,8.6
2,1.5e+07,1061,1,0,5976092,9343,649,1333,781200,7.2
3,6e+07,2965,1,0,719976,1312,76,189,1810000,6.2
8,6e+06,68,1,0,865690,1375,79,67,1818778,6.7
1,2e+08,3996,7,3,2285,9,0,1,10280000,8.1
9,1.2e+07,2,1,0,550734,894,44,77,168700,6.2
1,1.5e+08,4274,4,1,9143740,34746,1074,5107,6180000,7.3
1,2.5e+08,4276,2,21,10366624,31552,989,3843,10070000,7.8
1,1.9e+08,4004,7,-17,59056,330,8,39,11890000,7.4
12,1.75e+08,3946,1,2,1438926,4632,262,496,232000,8.6
1,7.4e+07,4301,2,-2,1341909,1607,764,48,250000,6.6
8,2.9e+07,3473,2,1,9214467,39824,998,1987,7336000,6.7
3,1.5e+08,3956,5,3,8748596,20352,649,1842,6605000,7.8
8,1.35e+08,3708,1,-2,10341783,24413,1675,3426,5070000,6.7
3,4e+07,3646,1,9,31859569,49900,13960,9119,946000,4.2
8,7.4e+07,3641,2,0,5536822,29411,1840,1281,184000,6.1
1,1.1e+08,3777,1,3,12632836,36508,2210,7559,9737600,6.4
1,1.5e+08,3702,4,-4,2732371,13030,497,1774,768700,8.3
9,2.8e+07,2757,1,5,848970,12607,237,1560,55618,8.3
2,1.1e+08,3875,2,-6,2834800,5664,5746,66,4240000,6.4
1,6.5e+07,3711,1,0,6649290,20750,750,1666,265000,7.3
12,3.5e+07,3158,1,1,9511288,19903,2581,2955,2014000,6.7
12,1.9e+08,3972,1,1,999867,4212,66,250,1198000,6.6
8,4e+07,3175,1,6,10078326,26565,1418,2395,2939000,6.1
1,1.55e+08,3758,5,1,84870,265,13,63,3877901,6.8
8,6.8e+07,3442,2,5,6711914,29903,984,1767,10988000,6.6
1,3e+07,90,2,15,2389347,8809,935,892,1618000,4.3
1,8.8e+07,3723,1,10,5340100,26134,2007,3717,2466000,5.6
8,14800000,3355,2,7,5128288,18475,858,1579,8392000,6.2
8,2.3e+07,3003,1,-8,4826940,10521,478,755,2284000,6.7
2,3.1e+07,3411,5,13,2554327,10062,464,871,2347000,6.3
1,1.2e+08,3995,1,20,7560211,24168,3524,7139,881000,4
15,3.5e+07,3240,1,-5,3651828,13998,969,2205,1066,5
1,1.76e+08,3181,1,0,3920842,10535,565,1668,7460000,5.5
3,2.5e+07,2991,1,11,11036701,50002,1005,3525,776000,7.3
1,2e+07,2855,1,0,2947239,19201,625,1842,2113,7
3,3.4e+07,3366,1,19,2393017,13291,369,584,324925,7.2
1,5e+06,1648,1,11,2513544,6970,270,1105,1655987,7.6
6,4e+06,2602,1,16,5588384,15144,913,1499,4599000,4.6
1,3.5e+07,3003,1,2,6964819,26601,1111,1293,1630000,5
8,8500000,2575,1,2,12792898,56001,2083,4102,6714000,6.6
10,1.1e+07,258,1,19,6495,82,3,7,675000,7.4
3,3e+07,3108,1,6,1841293,5879,314,634,788000,7.1
3,1.2e+07,3031,1,6,2854910,23254,459,1087,4184000,6.9
8,3300000,2666,1,7,4442147,10605,691,2739,2007000,5.2
1,1e+07,2766,2,-38,11037833,36874,1885,4360,5699,5.5
3,1.8e+07,1603,1,25,638374,4018,130,269,1887,6.1
8,1.2e+07,2893,1,7,6646785,16041,955,2787,253499,6.4
8,3.5e+07,3261,1,10,13154873,46684,3565,8578,209000,5.9
8,7e+05,2002,1,2,50444,238,3,28,986572,7.5
8,1.4e+07,2880,2,9,11496,194,9,31,1891977,5.1
1,2.8e+07,2778,1,21,2996539,1874,32,189,155000,6.5
8,4e+07,2816,1,3,3098749,4311,341,881,1520000,5.8
8,6e+07,2648,1,-2,3850758,13363,453,1276,3045000,5.5
3,7e+07,2567,1,4,2409338,6923,340,714,1334000,5.4
8,8e+06,34,1,15,4032265,18398,302,1298,2208,8.2
15,8495000,420,1,-2,1364537,3824,689,772,3841,4.5
3,4500000,79,1,10,5085068,14359,600,2468,3744000,5.6
3,4e+06,14,1,0,63724,115,28,14,129000,7.3
3,1500000,22,1,14,44963,109,27,42,1188000,6.3
